0.0012211542 JNU Juneau Intl, United States
0.0012186428 VCE Venezia Tessera, Italy
0.0011956446 SGN Tansonnhat Intl, Vietnam
0.0011869296 STR Stuttgart, Germany
0.0011754192 DPS Bali Ngurah Rai, Indonesia
0.0011699142 LYS Saint Exupery, France
0.0011681006 CNS Cairns Intl, Australia
0.0011673121 LPA Gran Canaria, Spain
0.0011616397 HAM Hamburg, Germany
0.0011562086 SAN San Diego Intl, United States
0.001134863 VLI Port Vila Bauerfield, Vanuatu
0.0011323038 ALG Houari Boumediene, Algeria
0.0011285515 EDI Edinburgh, United Kingdom
0.0011268763 SJO Juan Santamaria Intl, Costa Rica
0.001121783 MRS Provence, France
0.0011198886 WAW Okecie, Poland
0.0011061471 CMN Mohammed V Intl, Morocco
0.0011047129 YXL Sioux Lookout, Canada
0.001103407 GLA Glasgow, United Kingdom
0.0011000776 SSA Deputado Luis Eduardo Magalhaes, Brazil
0.0010908182 MHD Mashhad, Iran
0.0010908133 TLV Ben Gurion, Israel
0.0010900647 YEG Edmonton Intl, Canada
0.0010857771 HER Nikos Kazantzakis, Greece
0.001080361 NAN Nadi Intl, Fiji
0.0010726476 MAO Eduardo Gomes Intl, Brazil
0.001072591 CGO Xinzheng, China
0.0010636604 VKO Vnukovo, Russia
0.0010614914 UPG Hasanuddin, Indonesia
0.0010476773 AYT Antalya, Turkey
0.0010462348 BLR Bangalore, India
0.0010411271 MAA Chennai Intl, India
0.0010410783 DLC Zhoushuizi, China
0.0010384352 AMM Queen Alia Intl, Jordan
0.0010204872 CGN Koln Bonn, Germany
0.0010173912 EZE Ministro Pistarini, Argentina
0.001015183 KWI Kuwait Intl, Kuwait
0.0010142344 CNF Tancredo Neves Intl, Brazil
0.0010098952 OME Nome, United States
0.0010069014 SJU Luis Munoz Marin Intl, Puerto Rico
0.001002241 OTP Henri Coanda, Romania
0.0009948031 ADL Adelaide Intl, Australia
0.0009938981 SHE Shenyang Taoxian International Airport, China
0.0009850247 HAN Noibai Intl, Vietnam
0.0009845996 RHO Rhodes Diagoras, Greece
0.0009835901 GEA Magenta, New Caledonia
0.0009829 CEB Mactan Cebu Intl, Philippines
0.0009793138 KBP Boryspil Intl, Ukraine
0.0009791141 CLE Cleveland Hopkins Intl, United States
0.0009747866 TFS Tenerife Sur, Spain
0.0009707569 MCT Seeb Intl, Oman
0.0009635235 YZF Yellowknife, Canada
0.0009602761 HRB Taiping, China
0.0009479183 SVX Koltsovo, Russia
0.000947663 OTZ Ralph Wien Mem, United States
0.0009327268 BGY Bergamo Orio Al Serio, Italy
0.0009321291 CTS New Chitose, Japan
0.0009314894 KTM Tribhuvan Intl, Nepal
0.0009300475 PAC Marcos A Gelabert Intl, Panama
0.0009283895 LAD Luanda 4 De Fevereiro, Angola
0.0009240474 DRW Darwin Intl, Australia
0.0009238146 NAS Lynden Pindling Intl, Bahamas
0.0009214335 RIX Riga Intl, Latvia
0.0009206697 HAV Jose Marti Intl, Cuba
0.0009131965 TNA Jinan, China
0.0009099428 SUB Juanda, Indonesia
0.0009068361 OVB Tolmachevo, Russia
0.0009042803 TSN Binhai, China
0.0009016365 KWE Longdongbao, China
0.0008823813 BRS Bristol, United Kingdom
0.0008791018 POA Salgado Filho, Brazil
0.0008756247 LTN Luton, United Kingdom
0.0008723182 CWB Afonso Pena, Brazil
0.000870074 WLG Wellington Intl, New Zealand
0.0008688121 GDL Don Miguel Hidalgo Y Costilla Intl, Mexico
0.0008648741 FUK Fukuoka, Japan
0.0008610284 KHI Jinnah Intl, Pakistan
0.0008536577 HYD Hyderabad, India
0.0008533468 CMB Bandaranaike Intl Colombo, Sri Lanka
0.0008490375 TAS Yuzhny, Uzbekistan
0.0008482242 MCI Kansas City Intl, United States
0.0008394143 OPO Porto, Portugal
0.000839238 MLA Luqa, Malta
0.0008389704 CGH Congonhas, Brazil
0.0008244001 BNA Nashville Intl, United States
0.000820257 UIO Mariscal Sucre Intl, Ecuador
0.0008141897 NNG Wuxu, China
0.0008141753 ALA Almaty, Kazakhstan
0.0008131828 EMA Nottingham East Midlands, United Kingdom
0.000812509 NGO Chubu Centrair Intl, Japan
0.0008123493 FAO Faro, Portugal
0.000810824 ACE Lanzarote, Spain
0.000806955 LOS Murtala Muhammed, Nigeria
0.0008043814 SFB Orlando Sanford Intl, United States
0.0008040551 CHC Christchurch Intl, New Zealand
0.0007952036 TYN Wusu, China
0.0007922348 HOU William P Hobby, United States
0.0007876977 TUN Carthage, Tunisia
0.0007868782 HET Baita Airport, China
0.0007818503 BGO Flesland, Norway
0.0007800958 FOC Changle, China
0.0007763227 NCL Newcastle, United Kingdom
0.0007726919 YWG Winnipeg Intl, Canada
0.0007721396 LCA Larnaca, Cyprus
0.0007679588 BUD Ferihegy, Hungary
0.0007675341 KTN Ketchikan Intl, United States
0.0007664006 CFU Ioannis Kapodistrias Intl, Greece
0.0007615093 CGB Marechal Rondon, Brazil
0.0007601663 YFB Iqaluit, Canada
0.0007568211 DMM King Fahd Intl, Saudi Arabia
0.0007542978 DAC Zia Intl, Bangladesh
0.0007505471 AER Sochi, Russia
0.00074831 KEF Keflavik International Airport, Iceland
0.0007446341 RGN Yangon Intl, Burma
0.0007438018 CTA Catania Fontanarossa, Italy
0.0007420307 OAK Metropolitan Oakland Intl, United States
0.0007346363 BSL EuroAirport Basel-Mulhouse-Freiburg, Switzerland
0.0007342312 ACC Kotoka Intl, Ghana
0.0007337281 BAH Bahrain Intl, Bahrain
0.0007267295 SKG Makedonia, Greece
0.0007265757 AUS Austin Bergstrom Intl, United States
0.0007202664 BEL Val De Cans Intl, Brazil
0.0007164879 YRT Rankin Inlet, Canada
0.000715277 PUS Gimhae Intl, South Korea
0.0007050224 CPT Cape Town Intl, South Africa
0.0006953118 YOW Ottawa Macdonald Cartier Intl, Canada
0.0006943909 MTY General Mariano Escobedo Intl, Mexico
0.0006904481 KRT Khartoum, Sudan
0.0006872503 TLS Blagnac, France
0.0006833596 RDU Raleigh Durham Intl, United States
